index,||,$,*=,FLOAT,},return,while,continue,:,default,else,unsigned,/=,<,double,INT8,%,INT10,void,long,#,),case,+,int,==,>=,+=,float,break,-,switch,INT16,",",;,!=,for,IDN,%=,/,char,short,CHAR,*,=,-=,>,STR,&&,do,<=,(,if,!,{
assign_stmt,error,error,error,[' expression ;'],error,error,error,error,error,error,error,error,error,error,error,[' expression ;'],error,[' expression ;'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' expression ;'],error,error,error,error,[' expression ;'],error,error,error,error,[' expression ;'],error,error,error,error,[' expression ;'],error,error,error,[' expression ;'],error,error,error
func,error,error,error,error,error,error,error,error,error,error,error,[' type IDN ( args ) func_body'],error,error,[' type IDN ( args ) func_body'],error,error,error,[' type IDN ( args ) func_body'],[' type IDN ( args ) func_body'],error,error,error,error,[' type IDN ( args ) func_body'],error,error,error,[' type IDN ( args ) func_body'],error,error,error,error,error,error,error,error,error,error,error,[' type IDN ( args ) func_body'],[' type IDN ( args ) func_body'],error,error,error,error,error,error,error,error,error,error,error,error,error
define_stmt,error,error,error,error,error,error,error,error,error,error,error,[' type IDN init vars ;'],error,error,[' type IDN init vars ;'],error,error,error,[' type IDN init vars ;'],[' type IDN init vars ;'],error,error,error,error,[' type IDN init vars ;'],error,error,error,[' type IDN init vars ;'],error,error,error,error,error,error,error,error,error,error,error,[' type IDN init vars ;'],[' type IDN init vars ;'],error,error,error,error,error,error,error,error,error,error,error,error,error
lop,[' ||'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' &&'],error,error,error,error,error,error
expression,error,error,error,[' value operation'],error,error,error,error,error,error,error,error,error,error,error,[' value operation'],error,[' value operation'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' value operation'],error,error,error,error,[' value operation'],error,error,error,error,[' value operation'],error,error,error,error,[' value operation'],error,error,error,[' value operation'],error,error,error
jump_stmt,error,error,error,error,error,[' return isnull_expr ;'],error,[' continue ;'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' break ;'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error
operation,error,[' $'],[' equal_op value'],error,error,error,error,error,error,error,error,error,[' equal_op value'],[' compare_op value'],error,error,error,error,error,error,error,error,error,error,error,[' compare_op value'],[' compare_op value'],[' equal_op value'],error,error,error,error,error,error,error,[' compare_op value'],error,error,[' equal_op value'],error,error,error,error,error,[' equal_op value'],[' equal_op value'],[' compare_op value'],error,error,error,[' compare_op value'],error,error,error,error
init,error,[' $'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' = expression'],error,error,error,error,error,error,error,error,error,error
S,error,error,error,error,error,error,error,error,error,error,error,[' func funcs'],error,error,[' func funcs'],error,error,error,[' func funcs'],[' func funcs'],error,error,error,error,[' func funcs'],error,error,error,[' func funcs'],error,error,error,error,error,error,error,error,error,error,error,[' func funcs'],[' func funcs'],error,error,error,error,error,error,error,error,error,error,error,error,error
call_func,error,[' $'],error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,error,[' ( es )'],error,error,error
