,stack,express,action
0,"['#', 'S']","['int', 'IDN', '(', ')', '{', 'int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'if', '(', 'IDN', '>', 'IDN', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', 'for', '(', 'IDN', '=', 'INT10', ';', 'IDN', '<', 'IDN', ';', 'IDN', '=', 'IDN', '+', 'INT10', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', '}', '}', '}', '#']",替代
1,"['#', 'funcs', 'func']","['int', 'IDN', '(', ')', '{', 'int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'if', '(', 'IDN', '>', 'IDN', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', 'for', '(', 'IDN', '=', 'INT10', ';', 'IDN', '<', 'IDN', ';', 'IDN', '=', 'IDN', '+', 'INT10', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', '}', '}', '}', '#']",替代
2,"['#', 'funcs', 'func_body', ')', 'args', '(', 'IDN', 'type']","['int', 'IDN', '(', ')', '{', 'int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'if', '(', 'IDN', '>', 'IDN', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', 'for', '(', 'IDN', '=', 'INT10', ';', 'IDN', '<', 'IDN', ';', 'IDN', '=', 'IDN', '+', 'INT10', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', '}', '}', '}', '#']",替代
3,"['#', 'funcs', 'func_body', ')', 'args', '(', 'IDN', 'int']","['int', 'IDN', '(', ')', '{', 'int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'if', '(', 'IDN', '>', 'IDN', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', 'for', '(', 'IDN', '=', 'INT10', ';', 'IDN', '<', 'IDN', ';', 'IDN', '=', 'IDN', '+', 'INT10', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', '}', '}', '}', '#']",匹配成功 : int
4,"['#', 'funcs', 'func_body', ')', 'args', '(', 'IDN']","['IDN', '(', ')', '{', 'int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'if', '(', 'IDN', '>', 'IDN', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', 'for', '(', 'IDN', '=', 'INT10', ';', 'IDN', '<', 'IDN', ';', 'IDN', '=', 'IDN', '+', 'INT10', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', '}', '}', '}', '#']",匹配成功 : IDN
5,"['#', 'funcs', 'func_body', ')', 'args', '(']","['(', ')', '{', 'int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'if', '(', 'IDN', '>', 'IDN', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', 'for', '(', 'IDN', '=', 'INT10', ';', 'IDN', '<', 'IDN', ';', 'IDN', '=', 'IDN', '+', 'INT10', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', '}', '}', '}', '#']",匹配成功 : (
6,"['#', 'funcs', 'func_body', ')', 'args']","[')', '{', 'int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'if', '(', 'IDN', '>', 'IDN', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', 'for', '(', 'IDN', '=', 'INT10', ';', 'IDN', '<', 'IDN', ';', 'IDN', '=', 'IDN', '+', 'INT10', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', '}', '}', '}', '#']",可替代为空
7,"['#', 'funcs', 'func_body', ')']","[')', '{', 'int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'if', '(', 'IDN', '>', 'IDN', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', 'for', '(', 'IDN', '=', 'INT10', ';', 'IDN', '<', 'IDN', ';', 'IDN', '=', 'IDN', '+', 'INT10', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', '}', '}', '}', '#']",匹配成功 : )
8,"['#', 'funcs', 'func_body']","['{', 'int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'if', '(', 'IDN', '>', 'IDN', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', 'for', '(', 'IDN', '=', 'INT10', ';', 'IDN', '<', 'IDN', ';', 'IDN', '=', 'IDN', '+', 'INT10', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', '}', '}', '}', '#']",替代
9,"['#', 'funcs', 'block']","['{', 'int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'int', 'IDN', '=', 'INT10', ';', 'if', '(', 'IDN', '>', 'IDN', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', 'for', '(', 'IDN', '=', 'INT10', ';', 'IDN', '<', 'IDN', ';', 'IDN', '=', 'IDN', '+', 'INT10', ')', '{', 'IDN', '=', 'IDN', '+', 'IDN', ';', '}', '}', '}', '#']",替代
